223,45,1
240,52,1
363,58,1
171,39,1
178,46,1
172,45,1
172,44,1
205,44,1
219,58,1
334,46,1
347,39,1
173,35,1
178,46,1
365,39,1
196,41,1
210,41,1
330,44,1
355,44,1
363,35,1
180,66,1
186,57,1
193,38,1
217,46,1
233,50,1
236,42,1
175,39,1
175,41,1
262,43,1
273,44,1
196,48,1
176,35,1
326,58,1
335,44,1
173,42,1
170,42,1
339,48,1
187,40,1
209,40,1
230,47,1
251,39,1
257,35,1
281,32,1
182,35,1
203,49,1
173,142,1
170,47,1
171,55,1
369,50,1
172,35,1
204,51,1
217,46,1
225,44,1
170,44,1
259,38,1
177,39,1
196,58,1
209,43,1
171,49,1
343,45,1
365,56,1
369,39,1
385,44,1
193,39,1
200,51,1
221,50,1
171,142,1
256,38,1
175,39,1
195,41,1
213,44,1
176,39,1
345,50,1
354,36,1
362,39,1
380,42,1
172,58,1
191,39,1
211,40,1
235,78,1
239,38,1
171,41,1
269,47,1
183,44,1
201,44,1
178,45,1
228,43,1
239,43,1
371,48,1
174,47,1
190,36,1
213,39,1
227,47,1
171,41,1
171,44,1
282,40,1
248,56,1
319,43,1
327,36,1
253,45,1
372,38,1
187,57,1
205,44,1
217,47,1
172,55,1
346,41,1
355,44,1
222,50,1
351,39,1
172,57,1
187,52,1
203,44,1
211,44,1
223,90,1
240,70,1
250,41,1
266,50,1
279,32,1
279,41,1
185,52,1
194,51,1
211,37,1
321,47,1
329,43,1
171,46,1
172,42,1
376,47,1
386,50,1
192,43,1
187,52,1
173,51,1
231,44,1
199,50,1
177,53,1
255,44,1
266,39,1
185,39,1
199,37,1
176,44,1
174,87,1
341,55,1
353,45,1
358,46,1
172,41,1
172,39,1
319,56,1
211,41,1
218,39,1
229,47,1
239,43,1
248,63,1
176,47,1
373,56,1
279,52,1
197,42,1
189,47,1
329,52,1
338,37,1
353,42,1
377,41,1
171,47,1
170,52,1
171,70,1
356,56,1
174,51,1
170,68,1
172,44,1
219,53,1
233,38,1
227,41,1
274,44,1
193,37,1
212,40,1
332,53,1
177,38,1
170,78,1
172,45,1
198,49,1
220,45,1
240,52,1
260,41,1
279,42,1
170,44,1
322,63,1
173,58,1
174,55,1
274,77,1
256,42,1
196,42,1
174,56,1
332,47,1
355,37,1
367,43,1
360,63,1
294,62,1
171,40,1
225,37,1
249,47,1
172,10,1
172,76,1
172,45,1
172,36,1
200,35,1
216,52,1
200,53,1
172,53,1
219,41,1
242,41,1
171,64,1
272,89,1
184,59,1
196,65,1
206,65,1
210,37,1
221,48,1
207,61,1
313,53,1
373,46,1
309,51,1
406,40,1
330,46,1
341,77,1
173,44,1
171,58,1
192,67,1
172,42,1
206,50,1
225,40,1
248,51,1
268,62,1
185,41,1
203,44,1
326,38,1
348,42,1
171,40,1
172,38,1
171,34,1
173,37,1
247,40,1
173,39,1
188,51,1
207,39,1
171,36,1
350,38,1
269,35,1
175,36,1
191,34,1
189,37,1
179,35,1
220,41,1
175,38,1
172,29,1
172,57,1
187,72,1
208,44,1
207,54,1
342,54,1
341,32,1
351,47,1
174,45,1
373,34,1
197,38,1
176,38,1
171,40,1
239,43,1
261,44,1
280,40,1
190,53,1
199,47,1
171,42,1
194,47,1
353,48,1
370,39,1
301,39,1
171,41,1
204,58,1
177,46,1
231,39,1
240,44,1
175,44,1
262,47,1
282,40,1
189,46,1
213,37,1
172,48,1
170,45,1
371,46,1
181,55,1
192,45,1
201,36,1
210,72,1
173,47,1
359,63,1
173,36,1
364,38,1
376,48,1
193,47,1
171,34,1
335,50,1
